timestamp,user_id,variant,movie_id,rating,metadata
2025-12-24T18:14:54.674118,1,control,20,,
2025-12-24T18:14:58.731133,1,control,18,,
2025-12-24T18:15:53.103163,1,control,12,,
2025-12-24T18:15:56.913243,1,control,20,,
2025-12-24T18:15:58.574777,1,control,8,,
2025-12-24T18:16:03.995458,1,control,16,,
2025-12-24T18:16:06.393410,1,control,16,,
2025-12-24T18:16:20.299306,1,control,15,,
2025-12-24T18:16:30.208416,1,control,6,,
2025-12-24T18:16:34.125337,1,control,13,,
2025-12-24T18:17:20.323644,2,treatment,2,,
2025-12-24T18:17:23.529092,2,treatment,11,,
2025-12-24T18:17:25.885346,2,treatment,9,,
2025-12-24T18:17:28.116221,2,treatment,7,,
2025-12-24T18:17:29.720316,2,treatment,5,,
2025-12-24T18:17:32.081104,2,treatment,3,,
2025-12-24T18:18:12.877713,1,control,3,,
2025-12-24T18:20:53.577750,1,control,12,,
2025-12-24T18:20:58.157987,1,control,2,,
2025-12-24T18:21:01.084701,1,control,13,,
2025-12-24T18:21:05.964593,1,control,7,,
2025-12-24T18:21:27.543000,1,control,18,,
2025-12-24T18:21:30.946433,1,control,5,,
2025-12-24T18:27:21.196296,1,control,17,,
2025-12-24T18:27:25.200180,1,control,5,,
2025-12-24T18:29:48.496455,2,treatment,9,,
2025-12-24T21:07:03.590110,1,control,4,,
2025-12-24T21:07:07.809153,1,control,18,,
2025-12-24T21:07:13.437705,1,control,16,,
2025-12-24T21:07:17.519805,1,control,12,,
2025-12-24T21:07:21.481598,1,control,5,,
2025-12-24T21:07:27.055329,1,control,8,,
2025-12-24T21:07:33.476794,1,control,10,,
2025-12-24T21:24:33.177830,1,control,20,,
2026-01-14T23:31:26.276318,rung động,treatment,5,,
2026-01-14T23:31:29.870491,rung động,treatment,11,,
2026-01-14T23:31:41.197279,rung động,treatment,13,,
2026-01-14T23:31:49.820787,rung động,treatment,8,,
2026-01-14T23:31:52.506785,rung động,treatment,19,,
2026-01-14T23:31:58.168318,rung động,treatment,28,,
2026-01-14T23:32:14.706835,rung động,treatment,3,,
